Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
TOYOTA MOTOR CORP/;0001094517;9/30/2025;954786;42,453,831;;732908108
ONTARIO TEACHERS PENSION PLAN BOARD;0000937567;9/30/2025;486723;21,641,766;;732908108
FMR LLC;0000315066;9/30/2025;370368;16,468,163;;732908108
IDG China Venture Capital Fund IV Associates L.P.;0001609021;9/30/2025;208889;9,288,115;;732908108
BAILLIE GIFFORD & CO;0001088875;9/30/2025;145293;6,460,363;;732908108
Point72 Hong Kong Ltd;0001599822;9/30/2025;124208;5,522,833;;732908108
IDG China Capital Fund III Associates L.P.;0001649614;9/30/2025;102795;4,570,712;;732908108
Aspex Management (HK) Ltd;0001768375;9/30/2025;93119;4,140,447;;732908108
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.;0001705339;9/30/2025;89173;3,964,830;;732908108
MORGAN STANLEY;0000895421;9/30/2025;74448;3,310,302;;732908108
TMT General Partner Ltd;0001847582;9/30/2025;70927;3,153,748;;732908108
Tidal Investments LLC;0001600064;9/30/2025;67470;3,000,000;;732908108
Tidal Investments LLC;0001600064;9/30/2025;67470;3,000,000;put;732908108
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;66673;2,964,600;call;732908108
Lingotto Investment Management LLP;0001732768;9/30/2025;53523;2,379,892;;732908108
Lingotto Investment Management LLP;0001732768;9/30/2025;53523;2,379,892;;732908108
Carlyle Group Inc.;0001527166;9/30/2025;53131;2,362,447;;732908108
Ghisallo Capital Management LLC;0001825214;9/30/2025;53076;2,360,000;;732908108
BAMCO INC /NY/;0001017918;9/30/2025;52521;2,335,346;;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;51414;2,286,095;;732908108
Point72 Asset Management, L.P.;0001603466;9/30/2025;50148;2,229,815;;732908108
WELLINGTON MANAGEMENT GROUP LLP;0000902219;9/30/2025;48786;2,169,257;;732908108
SOROS FUND MANAGEMENT LLC;0001029160;9/30/2025;46756;2,078,999;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;46390;2,062,702;;732908108
ARK Investment Management LLC;0001697748;9/30/2025;28622;1,272,690;;732908108
UBS Group AG;0001610520;9/30/2025;27033;1,202,015;;732908108
MANUFACTURERS LIFE INSURANCE COMPANY, THE;0000928047;9/30/2025;26610;1,183,234;;732908108
Mubadala Investment Co PJSC;0001704268;9/30/2025;25307;1,125,287;;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;25213;1,121,100;call;732908108
HSG Holding Ltd;0001470766;9/30/2025;20719;1,076,905;;732908108
Neumann Advisory Hong Kong Ltd;0001727862;9/30/2025;23207;1,031,880;;732908108
MASTERS CAPITAL MANAGEMENT LLC;0001104186;9/30/2025;22490;1,000,000;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;21862;972,100;put;732908108
CITADEL ADVISORS LLC;0001423053;9/30/2025;21779;968,400;put;732908108
Mirae Asset Global Investments Co., Ltd.;0001569395;9/30/2025;18818;836,728;;732908108
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;17747;789,123;;732908108
MARSHALL WACE, LLP;0001318757;9/30/2025;16574;736,993;;732908108
STATE STREET CORP;0000093751;9/30/2025;15589;693,180;;732908108
PEAK6 LLC;0001389958;9/30/2025;15254;678,300;call;732908108
Flight Deck Capital, LP;0001861705;9/30/2025;15126;672,600;;732908108
JANE STREET GROUP, LLC;0001595888;9/30/2025;14591;648,800;call;732908108
HRT FINANCIAL LP;0001475597;9/30/2025;12503;555,966;;732908108
Amova Asset Management Americas, Inc.;0001480751;9/30/2025;12119;539,141;;732908108
Sumitomo Mitsui Trust Group, Inc.;0001475365;9/30/2025;12125;539,141;;732908108
Hel Ved Capital Management Ltd;0001840129;9/30/2025;11874;527,979;;732908108
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;10509;467,300;put;732908108
Y-Intercept (Hong Kong) Ltd;0001772875;9/30/2025;9508;422,806;;732908108
CI INVESTMENTS INC.;0001163648;9/30/2025;9073;403,426;;732908108
FIL Ltd;0000318989;9/30/2025;9060;402,884;;732908108
CAPITAL FUND MANAGEMENT S.A.;0001323645;9/30/2025;8682;386,059;;732908108
TIGER GLOBAL MANAGEMENT LLC;0001167483;9/30/2025;8321;370,000;;732908108
Clear Street Group Inc.;0001881567;9/30/2025;7183;319,398;;732908108
Carrhae Capital LLP;0001555254;9/30/2025;6686;297,295;;732908108
BARCLAYS PLC;0000312069;9/30/2025;6268;278,714;;732908108
OCONNOR, A Distinct Business Unit of UBS ASSET MANAGEMENT AMERICAS (LLC);0001132716;9/30/2025;6016;267,508;;732908108
Balyasny Asset Management L.P.;0001218710;9/30/2025;5784;257,225;;732908108
Walleye Capital LLC;0001758720;9/30/2025;5683;252,700;put;732908108
BARCLAYS PLC;0000312069;9/30/2025;5622;250,000;put;732908108
Balyasny Asset Management L.P.;0001218710;9/30/2025;5622;250,000;put;732908108
AFFINITY WEALTH MANAGEMENT LLC;0000810672;9/30/2025;5613;249,611;;732908108
ARMISTICE CAPITAL, LLC;0001601086;9/30/2025;5606;249,300;;732908108
Baader Bank Aktiengesellschaft;0001542629;9/30/2025;5087;228,193;;732908108
Hudson Bay Capital Management LP;0001393825;9/30/2025;4981;221,520;;732908108
KEYSTONE INVESTORS PTE LTD;0001926253;9/30/2025;4979;221,408;;732908108
CAPITAL FUND MANAGEMENT S.A.;0001323645;9/30/2025;4637;206,200;call;732908108
Yiheng Capital Management, L.P.;0001447228;9/30/2025;4504;200,300;;732908108
