Manager;CIK;Report Date;Value ($000);Shares;Option Type;CUSIP
Trigran Investments, Inc.;0001336800;9/30/2025;29130;5,013,868;;87874R308
Lynrock Lake LP;0001734341;9/30/2025;18149;3,123,821;;87874R308
BlackRock, Inc.;0002012383;9/30/2025;12366;2,128,413;;87874R308
VANGUARD GROUP INC;0000102909;9/30/2025;9805;1,687,652;;87874R308
RICE HALL JAMES & ASSOCIATES, LLC;0001230765;9/30/2025;7550;1,299,526;;87874R308
MILLENNIUM MANAGEMENT LLC;0001273087;9/30/2025;7217;1,242,193;;87874R308
Samjo Management, LLC;0001986590;9/30/2025;5897;1,015,050;;87874R308
BANK OF AMERICA CORP /DE/;0000070858;9/30/2025;5877;1,011,639;;87874R308
EVR Research LP;0001843019;9/30/2025;5868;1,010,000;;87874R308
Impax Asset Management Group plc;0001749768;9/30/2025;5164;888,887;;87874R308
RENAISSANCE TECHNOLOGIES LLC;0001037389;9/30/2025;5018;863,800;;87874R308
DIMENSIONAL FUND ADVISORS LP;0000354204;9/30/2025;4588;789,743;;87874R308
GEODE CAPITAL MANAGEMENT, LLC;0001214717;9/30/2025;4168;717,427;;87874R308
STATE STREET CORP;0000093751;9/30/2025;3752;645,897;;87874R308
EARNEST PARTNERS LLC;0001102578;9/30/2025;3694;635,932;;87874R308
JANE STREET GROUP, LLC;0001595888;9/30/2025;3549;610,967;;87874R308
JPMORGAN CHASE & CO;0000019617;9/30/2025;2293;394,786;;87874R308
JPMORGAN CHASE & CO;0000019617;9/30/2025;2293;394,786;;87874R308
ROYAL BANK OF CANADA;0001000275;9/30/2025;1840;316,812;;87874R308
NORTHERN TRUST CORP;0000073124;9/30/2025;1535;264,224;;87874R308
WELLS FARGO & COMPANY/MN;0000072971;9/30/2025;1528;263,108;;87874R308
ENVESTNET ASSET MANAGEMENT INC;0001407543;9/30/2025;1492;256,887;;87874R308
GOLDMAN SACHS GROUP INC;0000886982;9/30/2025;1420;244,442;;87874R308
CHARLES SCHWAB INVESTMENT MANAGEMENT INC;0000884546;9/30/2025;1406;242,140;;87874R308
TWO SIGMA INVESTMENTS, LP;0001179392;9/30/2025;966;166,402;;87874R308
Schonfeld Strategic Advisors LLC;0001665241;9/30/2025;947;163,042;;87874R308
MORGAN STANLEY;0000895421;9/30/2025;837;144,211;;87874R308
CITADEL ADVISORS LLC;0001423053;9/30/2025;781;134,492;;87874R308
Trexquant Investment LP;0001633445;9/30/2025;753;129,747;;87874R308
BROWN ADVISORY INC;0001345929;9/30/2025;741;127,684;;87874R308
Cubist Systematic Strategies, LLC;0001603465;9/30/2025;686;118,104;;87874R308
HRT FINANCIAL LP;0001475597;9/30/2025;651;112,123;;87874R308
Nierenberg Investment Management Company, Inc.;0001282683;9/30/2025;648;111,555;;87874R308
Bank of New York Mellon Corp;0001390777;9/30/2025;645;111,074;;87874R308
D. E. Shaw & Co., Inc.;0001009207;9/30/2025;607;104,539;;87874R308
UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC;0000861177;9/30/2025;577;99,480;;87874R308
WINTON GROUP Ltd;0001612063;9/30/2025;500;86,149;;87874R308
Inspire Investing, LLC;0001670139;9/30/2025;465;80,148;;87874R308
HighTower Advisors, LLC;0001462245;9/30/2025;451;77,659;;87874R308
Worth Venture Partners, LLC;0001696778;9/30/2025;437;75,327;;87874R308
Weiss Asset Management LP;0001357550;9/30/2025;429;73,852;;87874R308
Dynamic Technology Lab Private Ltd;0001535387;9/30/2025;332;57,041;;87874R308
Swiss National Bank;0001582202;9/30/2025;321;55,400;;87874R308
Nuveen, LLC;0001871926;9/30/2025;320;55,174;;87874R308
Squarepoint Ops LLC;0001642575;9/30/2025;304;52,374;;87874R308
Cetera Investment Advisers;0001666741;9/30/2025;301;51,904;;87874R308
Point72 Asset Management, L.P.;0001603466;9/30/2025;289;49,800;;87874R308
Quantbot Technologies LP;0001512991;9/30/2025;278;47,940;;87874R308
ALLIANCEBERNSTEIN L.P.;0001109448;9/30/2025;244;42,110;;87874R308
BARCLAYS PLC;0000312069;9/30/2025;243;41,829;;87874R308
RHUMBLINE ADVISERS;0001115418;9/30/2025;234;40,411;;87874R308
SUSQUEHANNA INTERNATIONAL GROUP, LLP;0001446194;9/30/2025;227;39,238;;87874R308
DEUTSCHE BANK AG;0000948046;9/30/2025;218;37,626;;87874R308
Mariner, LLC;0001373442;9/30/2025;217;37,468;;87874R308
AMERICAN CENTURY COMPANIES INC;0000748054;9/30/2025;201;34,611;;87874R308
XTX Topco Ltd;0001828301;9/30/2025;199;34,382;;87874R308
Brevan Howard Capital Management LP;0001512857;9/30/2025;192;33,111;;87874R308
Point72 Asia (Singapore) Pte. Ltd.;0001666791;9/30/2025;192;33,047;;87874R308
SEI INVESTMENTS CO;0000350894;9/30/2025;166;28,632;;87874R308
Quantinno Capital Management LP;0001759654;9/30/2025;158;27,309;;87874R308
Acuitas Investments, LLC;0001524828;9/30/2025;156;26,998;;87874R308
Balyasny Asset Management L.P.;0001218710;9/30/2025;147;25,446;;87874R308
EntryPoint Capital, LLC;0001992519;9/30/2025;144;24,804;;87874R308
UBS Group AG;0001610520;9/30/2025;138;23,894;;87874R308
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM;0001081019;9/30/2025;138;23,836;;87874R308
Savant Capital, LLC;0001482880;9/30/2025;137;23,665;;87874R308
AQR CAPITAL MANAGEMENT LLC;0001167557;9/30/2025;126;21,739;;87874R308
PRICE T ROWE ASSOCIATES INC /MD/;0000080255;9/30/2025;125;21,396;;87874R308
Rockefeller Capital Management L.P.;0001739439;9/30/2025;120;20,798;;87874R308
&PARTNERS;0000107136;9/30/2025;116;20,294;;87874R308
Jump Financial, LLC;0001831577;9/30/2025;107;18,484;;87874R308
AXQ CAPITAL, LP;0001916908;9/30/2025;100;17,332;;87874R308
FMR LLC;0000315066;9/30/2025;97;16,701;;87874R308
BANK OF MONTREAL /CAN/;0000927971;9/30/2025;95;16,507;;87874R308
Creative Planning;0001540235;9/30/2025;91;15,757;;87874R308
MetLife Investment Management, LLC;0001529735;9/30/2025;89;15,428;;87874R308
Legato Capital Management LLC;0001442641;9/30/2025;89;15,428;;87874R308
DRIVE WEALTH MANAGEMENT, LLC;0001952781;9/30/2025;85;14,791;;87874R308
