ticker;quarter;time;date
SCCO;Q4-2025;TNS;26-Jan-2026
NUE;Q4-2025;AMC;26-Jan-2026
RYAAY;Q3-2026;BMO;26-Jan-2026
BRO;Q4-2025;AMC;26-Jan-2026
WRB;Q4-2025;AMC;26-Jan-2026
STLD;Q4-2025;BMO;26-Jan-2026
GGG;Q4-2025;AMC;26-Jan-2026
ELS;Q4-2025;AMC;26-Jan-2026
AGNC;Q4-2025;AMC;26-Jan-2026
CR;Q4-2025;AMC;26-Jan-2026
ARE;Q4-2025;AMC;26-Jan-2026
SANM;Q1-2026;AMC;26-Jan-2026
WAL;Q4-2025;AMC;26-Jan-2026
PCH;Q4-2025;AMC;26-Jan-2026
WSFS;Q4-2025;AMC;26-Jan-2026
AGYS;Q3-2026;AMC;26-Jan-2026
BOH;Q4-2025;BMO;26-Jan-2026
PRK;Q4-2025;AMC;26-Jan-2026
NBTB;Q4-2025;AMC;26-Jan-2026
FRME;Q4-2025;AMC;26-Jan-2026
DX;Q4-2025;BMO;26-Jan-2026
EFSC;Q4-2025;AMC;26-Jan-2026
NWBI;Q4-2025;AMC;26-Jan-2026
TFIN;Q4-2025;AMC;26-Jan-2026
LKFN;Q4-2025;BMO;26-Jan-2026
GABC;Q4-2025;AMC;26-Jan-2026
TWO;Q4-2025;AMC;26-Jan-2026
FSUN;Q4-2025;AMC;26-Jan-2026
HBT;Q4-2025;BMO;26-Jan-2026
FSBC;Q4-2025;AMC;26-Jan-2026
SMBC;Q2-2026;AMC;26-Jan-2026
SPFI;Q4-2025;AMC;26-Jan-2026
HBCP;Q4-2025;AMC;26-Jan-2026
BMRC;Q4-2025;BMO;26-Jan-2026
FRBA;Q4-2025;AMC;26-Jan-2026
ISTR;Q4-2025;BMO;26-Jan-2026
RBB;Q4-2025;AMC;26-Jan-2026
CBK;Q4-2025;AMC;26-Jan-2026
LNKB;Q4-2025;AMC;26-Jan-2026
TSBK;Q1-2026;AMC;26-Jan-2026
COSO;Q4-2025;AMC;26-Jan-2026
CHMG;Q4-2025;TNS;26-Jan-2026
CZWI;Q4-2025;BMO;26-Jan-2026
ZENV;"Q3-2025";AMC;20-Jan-2026
WALD;"Q3-2025";BMO;20-Jan-2026
PEBO;"-";TAS;20-Jan-2026
NPB;"Q4-2025";AMC;20-Jan-2026
NEXM;"Q4-2024";AMC;20-Jan-2026
NCT;"H2-2025";AMC;20-Jan-2026
MBWM;"-";TAS;20-Jan-2026
MAXN;"Q3-2025";AMC;20-Jan-2026
LFCR;"Q2-2026";AMC;20-Jan-2026
ADAP;"Q3-2025";AMC;20-Jan-2026
PG;"Q2-2026";BMO;22-Jan-2026
GE;"Q4-2025";BMO;22-Jan-2026
INTC;"Q4-2025";AMC;22-Jan-2026
ABT;"Q4-2025";BMO;22-Jan-2026
ISRG;"Q4-2025";AMC;22-Jan-2026
