"managerName";"search_code";"ticker"
"John Vinh, CFA";KEYBANC;AMD
"John Vinh, CFA";KEYBANC;AMBA
"John Vinh, CFA";KEYBANC;ADI
"John Vinh, CFA";KEYBANC;ARM
"John Vinh, CFA";KEYBANC;AVGO
"John Vinh, CFA";KEYBANC;CRUS
"John Vinh, CFA";KEYBANC;INDI
"John Vinh, CFA";KEYBANC;INTC
"John Vinh, CFA";KEYBANC;LSCC
"John Vinh, CFA";KEYBANC;MRVL
"John Vinh, CFA";KEYBANC;MCHP
"John Vinh, CFA";KEYBANC;MU
"John Vinh, CFA";KEYBANC;MPWR
"John Vinh, CFA";KEYBANC;NVDA
"John Vinh, CFA";KEYBANC;NXPI
"John Vinh, CFA";KEYBANC;ON
"John Vinh, CFA";KEYBANC;QRVO
"John Vinh, CFA";KEYBANC;QCOM
"John Vinh, CFA";KEYBANC;SLAB
"John Vinh, CFA";KEYBANC;SWKS
"John Vinh, CFA";KEYBANC;SYNA
"John Vinh, CFA";KEYBANC;TXN
"Justin Patterson, CFA";KEYBANC;ABNB
"Justin Patterson, CFA";KEYBANC;GOOGL
"Justin Patterson, CFA";KEYBANC;ANGI
"Justin Patterson, CFA";KEYBANC;CMRC
"Justin Patterson, CFA";KEYBANC;CRTO
"Justin Patterson, CFA";KEYBANC;DASH
"Justin Patterson, CFA";KEYBANC;DV
"Justin Patterson, CFA";KEYBANC;DUOL
"Justin Patterson, CFA";KEYBANC;EB
"Justin Patterson, CFA";KEYBANC;FTDR
"Justin Patterson, CFA";KEYBANC;GLBE
"Justin Patterson, CFA";KEYBANC;IAC
"Justin Patterson, CFA";KEYBANC;LYFT
"Justin Patterson, CFA";KEYBANC;CART
"Justin Patterson, CFA";KEYBANC;META
"Justin Patterson, CFA";KEYBANC;NRDS
"Justin Patterson, CFA";KEYBANC;NFLX
"Justin Patterson, CFA";KEYBANC;PINS
"Justin Patterson, CFA";KEYBANC;PUBM
"Justin Patterson, CFA";KEYBANC;ROKU
